a=0xb4a6; output=0x4687
a=0x3188; output=0xc9a5
a=0x66dc; output=0x9451
a=0x66b0; output=0x947d
a=0x380c; output=0xc321
a=0xadf1; output=0x4d3c
a=0x551d; output=0xa610
a=0x5c62; output=0x9ecb
a=0x93ae; output=0x677f
a=0xf2ef; output=0x083e
a=0xa489; output=0x56a4
a=0x8103; output=0x7a2a
a=0xe4b1; output=0x167c
a=0xb86e; output=0x42bf
a=0xae82; output=0x4cab
a=0x4d60; output=0xadcd
a=0x45b9; output=0xb574
a=0xf85c; output=0x02d1
a=0x227f; output=0xd8ae
a=0x43c4; output=0xb769
a=0xcf41; output=0x2bec
a=0x4a98; output=0xb095
a=0xec91; output=0x0e9c
a=0x090a; output=0xf223
a=0x1418; output=0xe715
a=0x5b53; output=0x9fda
a=0x9ee5; output=0x5c48
a=0x522b; output=0xa902
a=0x8003; output=0x7b2a
a=0xb591; output=0x459c
a=0xc0dd; output=0x3a50
a=0x12fd; output=0xe830
a=0xf442; output=0x06eb
a=0x9a35; output=0x60f8
a=0xb040; output=0x4aed
a=0x0151; output=0xf9dc
a=0x02a4; output=0xf889
a=0x2480; output=0xd6ad
a=0xeb47; output=0x0fe6
a=0xc6fe; output=0x342f
a=0x422a; output=0xb903
a=0xbefe; output=0x3c2f
a=0xd1f0; output=0x293d
a=0x7f6f; output=0x7bbe
a=0x5386; output=0xa7a7
a=0x066b; output=0xf4c2
a=0x355b; output=0xc5d2
a=0xe2c6; output=0x1867
a=0x3ef5; output=0xbc38
a=0x1001; output=0xeb2c
a=0xde26; output=0x1d07
a=0xd03f; output=0x2aee
a=0xb190; output=0x499d
a=0xde47; output=0x1ce6
a=0xa401; output=0x572c
a=0xb831; output=0x42fc
a=0x7290; output=0x889d
a=0xa525; output=0x5608
a=0x2d4c; output=0xcde1
a=0x0773; output=0xf3ba
a=0x25b2; output=0xd57b
a=0x0027; output=0xfb06
a=0x99b6; output=0x6177
a=0x920d; output=0x6920
a=0x9c9c; output=0x5e91
a=0x6496; output=0x9697
a=0xf2a1; output=0x088c
a=0xdec9; output=0x1c64
a=0xfc19; output=0xff14
a=0xf33e; output=0x07ef
a=0x1ccc; output=0xde61
a=0x9e15; output=0x5d18
a=0x8415; output=0x7718
a=0x4123; output=0xba0a
a=0x1292; output=0xe89b
a=0x1b9a; output=0xdf93
a=0x183b; output=0xe2f2
a=0x09bb; output=0xf172
a=0x39fa; output=0xc133
a=0xfe1f; output=0xfd0e
a=0x9bdb; output=0x5f52
a=0x2a53; output=0xd0da
a=0x3b59; output=0xbfd4
a=0xd64e; output=0x24df
a=0x3d4a; output=0xbde3
a=0x28a8; output=0xd285
a=0x7643; output=0x84ea
a=0x620a; output=0x9923
a=0x3186; output=0xc9a7
a=0x9c62; output=0x5ecb
a=0xa8ac; output=0x5281
a=0xa58b; output=0x55a2
a=0x77fe; output=0x832f
a=0x3eb9; output=0xbc74
a=0xe303; output=0x182a
a=0x1658; output=0xe4d5
a=0x9b1e; output=0x600f
a=0xc05b; output=0x3ad2
a=0x44fd; output=0xb630
a=0x11cf; output=0xe95e
a=0xe8e3; output=0x124a
a=0x2875; output=0xd2b8
a=0xe918; output=0x1215
a=0x38ab; output=0xc282
a=0x8eb8; output=0x6c75
a=0x42a4; output=0xb889
a=0x40e4; output=0xba49
a=0x0500; output=0xf62d
a=0xe2b1; output=0x187c
a=0x1552; output=0xe5db
a=0x5f69; output=0x9bc4
a=0xa46f; output=0x56be
a=0x636d; output=0x97c0
a=0xb068; output=0x4ac5
a=0x655c; output=0x95d1
a=0x223c; output=0xd8f1
a=0x3695; output=0xc498
a=0xcdbc; output=0x2d71
a=0xa548; output=0x55e5
a=0xfb10; output=0x001d
a=0xb371; output=0x47bc
a=0xc0a6; output=0x3a87
a=0x0b17; output=0xf016
a=0xa584; output=0x55a9
a=0xb578; output=0x45b5
a=0x8b2f; output=0x6ffe
a=0x7fd7; output=0x7b56
a=0x58dd; output=0xa250
a=0xd7cb; output=0x2362
a=0xb9ab; output=0x4182
a=0x9518; output=0x6615
a=0xffe2; output=0xfb4b
a=0x068f; output=0xf49e
a=0x11d0; output=0xe95d
a=0x7ece; output=0x7c5f
a=0x8913; output=0x721a
a=0xc26e; output=0x38bf
a=0x01bb; output=0xf972
a=0x0670; output=0xf4bd
a=0x73dd; output=0x8750
a=0xd144; output=0x29e9
a=0x7129; output=0x8a04
a=0x49ae; output=0xb17f
a=0xeb89; output=0x0fa4
a=0x9357; output=0x67d6
a=0xd8b2; output=0x227b
a=0x33cf; output=0xc75e
a=0x28e2; output=0xd24b
a=0x55ea; output=0xa543
a=0xd377; output=0x27b6
a=0x63f1; output=0x973c
a=0x870c; output=0x7421
a=0x7626; output=0x8507
a=0x4da4; output=0xad89
a=0x9036; output=0x6af7
a=0x7b39; output=0x7ff4
a=0xe30b; output=0x1822
a=0xce72; output=0x2cbb
a=0x3e29; output=0xbd04
a=0x32e3; output=0xc84a
a=0x977b; output=0x63b2
a=0x01b1; output=0xf97c
a=0x7226; output=0x8907
a=0xac3c; output=0x4ef1
a=0xce79; output=0x2cb4
a=0x1c60; output=0xdecd
a=0xf939; output=0x01f4
a=0x8f3c; output=0x6bf1
a=0x02a7; output=0xf886
a=0x0b29; output=0xf004
a=0xbd7f; output=0x3dae
a=0x51b1; output=0xa97c
a=0x2be2; output=0xcf4b
a=0xb56d; output=0x45c0
a=0x09cc; output=0xf161
a=0x98b0; output=0x627d
a=0xf140; output=0x09ed
a=0x7780; output=0x83ad
a=0x6092; output=0x9a9b
a=0x7752; output=0x83db
a=0x7de9; output=0x7d44
a=0x7ee2; output=0x7c4b
a=0xfeb3; output=0xfc7a
a=0xf410; output=0x071d
a=0xabed; output=0x4f40
a=0x0484; output=0xf6a9
a=0xc31c; output=0x3811
a=0x1c4a; output=0xdee3
a=0xa7cc; output=0x5361
a=0x6b5e; output=0x8fcf
a=0xb6b2; output=0x447b
a=0xa414; output=0x5719
a=0x438f; output=0xb79e
a=0x8568; output=0x75c5
a=0x7342; output=0x87eb
a=0xdecf; output=0x1c5e
a=0x4e9e; output=0xac8f
a=0x8448; output=0x76e5
a=0x3f54; output=0xbbd9
a=0x98d0; output=0x625d
a=0x4687; output=0xb4a6
a=0x840c; output=0x7721
a=0xec44; output=0x0ee9
a=0x40d5; output=0xba58
a=0xb4b2; output=0x467b
a=0xec7d; output=0x0eb0
a=0x22c7; output=0xd866
a=0x4a9e; output=0xb08f
a=0x633d; output=0x97f0
a=0x5087; output=0xaaa6
a=0x5b56; output=0x9fd7
a=0x3d71; output=0xbdbc
a=0xdf65; output=0x1bc8
a=0x5ec3; output=0x9c6a
a=0x01fa; output=0xf933
a=0x1443; output=0xe6ea
a=0x42f7; output=0xb836
a=0x17ce; output=0xe35f
a=0x2b34; output=0xcff9
a=0x9087; output=0x6aa6
a=0x0b26; output=0xf007
a=0x2911; output=0xd21c
a=0xac52; output=0x4edb
a=0x7a9b; output=0x8092
a=0x7eb6; output=0x7c77
a=0x797e; output=0x81af
a=0x6f53; output=0x8bda
a=0x0ae6; output=0xf047
a=0xe00d; output=0x1b20
a=0xed79; output=0x0db4
a=0x13e0; output=0xe74d
a=0x53bf; output=0xa76e
a=0x0839; output=0xf2f4
a=0x953f; output=0x65ee
a=0x2e63; output=0xccca
a=0xbba9; output=0x3f84
a=0x4fa4; output=0xab89
a=0x1dd9; output=0xdd54
a=0xafd2; output=0x4b5b
a=0x8b8e; output=0x6f9f
a=0xfc1d; output=0xff10
a=0x3733; output=0xc3fa
a=0x4859; output=0xb2d4
a=0x7df5; output=0x7d38
a=0xbb5a; output=0x3fd3
a=0x8b65; output=0x6fc8
a=0xf3ba; output=0x0773
a=0x2b32; output=0xcffb
a=0x31a4; output=0xc989
a=0x7235; output=0x88f8
a=0x5ef8; output=0x9c35
a=0x84c0; output=0x766d
a=0x9615; output=0x6518
a=0xc484; output=0x36a9
a=0x132d; output=0xe800
a=0x4852; output=0xb2db
a=0x9b70; output=0x5fbd
a=0xeefb; output=0x0c32
a=0x4e27; output=0xad06
a=0x3a38; output=0xc0f5
a=0x88a4; output=0x7289
a=0x4948; output=0xb1e5
a=0x9e78; output=0x5cb5
a=0x5a61; output=0xa0cc
a=0xc14e; output=0x39df
a=0xd46c; output=0x26c1
a=0xae0f; output=0x4d1e
a=0x5d76; output=0x9db7
a=0xb9f2; output=0x413b
a=0xad40; output=0x4ded
a=0x1855; output=0xe2d8
a=0x3027; output=0xcb06
a=0x23d4; output=0xd759
a=0xd33c; output=0x27f1
a=0x12dd; output=0xe850
a=0xc114; output=0x3a19
a=0x70d8; output=0x8a55
a=0x2b85; output=0xcfa8
a=0x9007; output=0x6b26
a=0x0be6; output=0xef47
a=0x3c7a; output=0xbeb3
a=0x39ef; output=0xc13e
a=0x4445; output=0xb6e8
a=0x3379; output=0xc7b4
a=0xb168; output=0x49c5
a=0xa1c1; output=0x596c
a=0x4ee8; output=0xac45
a=0x7f00; output=0x7c2d
a=0xd188; output=0x29a5
a=0xb487; output=0x46a6
a=0xe84b; output=0x12e2
a=0xdef3; output=0x1c3a
a=0xe204; output=0x1929
a=0xbffe; output=0x3b2f
a=0xb267; output=0x48c6
a=0x4b55; output=0xafd8
a=0x1ace; output=0xe05f
a=0xc09a; output=0x3a93
a=0x74e4; output=0x8649
a=0x6ca4; output=0x8e89
a=0x5f9b; output=0x9b92
a=0xf49a; output=0x0693
a=0x059f; output=0xf58e
a=0x5da2; output=0x9d8b
a=0x8110; output=0x7a1d
a=0x9ed5; output=0x5c58
a=0x6ed2; output=0x8c5b
a=0x7881; output=0x82ac
a=0x2749; output=0xd3e4
a=0xaeff; output=0x4c2e
a=0xdb3d; output=0x1ff0
a=0x3702; output=0xc42b
a=0x5905; output=0xa228
a=0x7b4a; output=0x7fe3
a=0xc69a; output=0x3493
a=0x6b39; output=0x8ff4
a=0x88d4; output=0x7259
a=0x0a66; output=0xf0c7
a=0x4845; output=0xb2e8
a=0x1214; output=0xe919
a=0x25f0; output=0xd53d
a=0x0ff9; output=0xeb34
a=0xfdf0; output=0xfd3d
a=0x7f57; output=0x7bd6
a=0x6e99; output=0x8c94
a=0x30e1; output=0xca4c
a=0x5d62; output=0x9dcb
a=0x8d89; output=0x6da4
a=0x041c; output=0xf711
a=0x995f; output=0x61ce
a=0xe1c0; output=0x196d
a=0x2b42; output=0xcfeb
a=0x2897; output=0xd296
a=0x919a; output=0x6993
a=0x1101; output=0xea2c
a=0xea5b; output=0x10d2
a=0xdddd; output=0x1d50
a=0xd050; output=0x2add
a=0xc86b; output=0x32c2
a=0x58cd; output=0xa260
a=0xd70a; output=0x2423
a=0xadd6; output=0x4d57
a=0x44c7; output=0xb666
a=0xc68a; output=0x34a3
a=0x41ce; output=0xb95f
a=0x7843; output=0x82ea
a=0x461d; output=0xb510
a=0xf600; output=0x052d
a=0x6671; output=0x94bc
a=0xcd47; output=0x2de6
a=0xabde; output=0x4f4f
a=0x4ead; output=0xac80
a=0x4ced; output=0xae40
a=0x5291; output=0xa89c
a=0x9238; output=0x68f5
a=0xbda3; output=0x3d8a
a=0xb712; output=0x441b
a=0x3cff; output=0xbe2e
a=0xcef0; output=0x2c3d
a=0x27a7; output=0xd386
a=0x59ac; output=0xa181
a=0x382b; output=0xc302
a=0x53b5; output=0xa778
a=0x5b70; output=0x9fbd
a=0xf681; output=0x04ac
a=0xa99c; output=0x5191
a=0x5407; output=0xa726
a=0xa605; output=0x5528
a=0xe77a; output=0x13b3
a=0x27b0; output=0xd37d
a=0x6f0c; output=0x8c21
a=0xce31; output=0x2cfc
a=0xb4c9; output=0x4664
a=0x78d4; output=0x8259
a=0xd643; output=0x24ea
a=0xbfcc; output=0x3b61
a=0xd3bb; output=0x2772
a=0x4afd; output=0xb030
a=0xe68d; output=0x14a0
a=0xaf2a; output=0x4c03
a=0x6b49; output=0x8fe4
a=0x4877; output=0xb2b6
a=0xfe5d; output=0xfcd0
a=0xb764; output=0x43c9
a=0x3d63; output=0xbdca
a=0x598a; output=0xa1a3
a=0x0f69; output=0xebc4
a=0x5b8e; output=0x9f9f
a=0xc67b; output=0x34b2
a=0xd3fb; output=0x2732
a=0x5371; output=0xa7bc
a=0x8749; output=0x73e4
a=0xc43b; output=0x36f2
a=0xc18a; output=0x39a3
a=0xa7d6; output=0x5357
a=0x5cd1; output=0x9e5c
a=0x21fa; output=0xd933
a=0x8d3e; output=0x6def
a=0x0593; output=0xf59a
a=0x5825; output=0xa308
a=0x7c75; output=0x7eb8
a=0x94e9; output=0x6644
a=0xd108; output=0x2a25
a=0x7cdf; output=0x7e4e
a=0x83cd; output=0x7760
a=0xef78; output=0x0bb5
a=0x2a57; output=0xd0d6
a=0x6b29; output=0x9004
a=0xee25; output=0x0d08
a=0x291d; output=0xd210
a=0x15e8; output=0xe545
a=0xdce7; output=0x1e46
a=0x7906; output=0x8227
a=0x1928; output=0xe205
a=0x0798; output=0xf395
a=0x8b57; output=0x6fd6
a=0x98d3; output=0x625a
a=0x2839; output=0xd2f4
a=0x736b; output=0x87c2
a=0x30b4; output=0xca79
a=0x6dc2; output=0x8d6b
a=0x37df; output=0xc34e
a=0x1c68; output=0xdec5
a=0xa816; output=0x5317
a=0x8b8e; output=0x6f9f
a=0x841c; output=0x7711
a=0x33ce; output=0xc75f
a=0x74a9; output=0x8684
a=0x30cb; output=0xca62
a=0xd682; output=0x24ab
a=0x8ef2; output=0x6c3b
a=0x1fc8; output=0xdb65
a=0x0a72; output=0xf0bb
a=0xbc4a; output=0x3ee3
a=0x5956; output=0xa1d7
a=0xa545; output=0x55e8
a=0xf22e; output=0x08ff
a=0x232d; output=0xd800
a=0x547d; output=0xa6b0
a=0x26bc; output=0xd471
a=0xd9ea; output=0x2143
a=0xade8; output=0x4d45
a=0xdd58; output=0x1dd5
a=0x3f92; output=0xbb9b
a=0x3214; output=0xc919
a=0xd883; output=0x22aa
a=0xea9b; output=0x1092
a=0xaf82; output=0x4bab
a=0xb3d8; output=0x4755
a=0x5fed; output=0x9b40
a=0xb22a; output=0x4903
a=0x023e; output=0xf8ef
a=0x9fd2; output=0x5b5b
a=0x0852; output=0xf2db
a=0x15cb; output=0xe562
a=0x2d42; output=0xcdeb
a=0x75d9; output=0x8554
a=0x2f06; output=0xcc27
a=0x9009; output=0x6b24
a=0x4520; output=0xb60d
a=0xcd30; output=0x2dfd
a=0xf2b2; output=0x087b
a=0x65e2; output=0x954b
a=0x44a2; output=0xb68b
a=0xa3c1; output=0x576c
a=0x29a5; output=0xd188
a=0x8370; output=0x77bd
a=0x979c; output=0x6391
a=0xdd24; output=0x1e09
a=0x5336; output=0xa7f7
a=0xec74; output=0x0eb9
a=0x28b3; output=0xd27a
a=0x10d8; output=0xea55
a=0x11f2; output=0xe93b
a=0x6539; output=0x95f4
a=0x508c; output=0xaaa1
a=0xdfa2; output=0x1b8b
a=0x588c; output=0xa2a1
a=0x12aa; output=0xe883
a=0xefa9; output=0x0b84
a=0xecbd; output=0x0e70
a=0xfed0; output=0xfc5d
a=0x530f; output=0xa81e
a=0x4c76; output=0xaeb7
a=0x7228; output=0x8905
a=0x2a38; output=0xd0f5
a=0xe718; output=0x1415
a=0xf664; output=0x04c9
a=0x965c; output=0x64d1
a=0x1820; output=0xe30d
a=0x84af; output=0x767e
a=0x7fd4; output=0x7b59
a=0xe4b7; output=0x1676
a=0x8659; output=0x74d4
a=0x52dd; output=0xa850
a=0xc179; output=0x39b4
a=0x1405; output=0xe728
a=0x7c03; output=0x7f2a
a=0x62bb; output=0x9872
a=0x376f; output=0xc3be
a=0x0ca8; output=0xee85
a=0xed76; output=0x0db7
a=0xafb2; output=0x4b7b
a=0x06f7; output=0xf436
a=0xa49a; output=0x5693
a=0x7b03; output=0x802a
a=0x3d0d; output=0xbe20
a=0xa4d2; output=0x565b
a=0xf725; output=0x0408
a=0x2f58; output=0xcbd5
a=0x210b; output=0xda22
a=0x2d28; output=0xce05
a=0x6e6b; output=0x8cc2
a=0x2f4f; output=0xcbde
a=0x82c8; output=0x7865
a=0xed65; output=0x0dc8
a=0xd464; output=0x26c9
a=0x4619; output=0xb514
a=0x9717; output=0x6416
a=0x15b6; output=0xe577
a=0xfbb3; output=0xff7a
a=0x9774; output=0x63b9
a=0xfdc6; output=0xfd67
a=0xa0dd; output=0x5a50
a=0x6016; output=0x9b17
a=0xc65f; output=0x34ce
a=0x3dcf; output=0xbd5e
a=0x02e3; output=0xf84a
a=0x192d; output=0xe200
a=0x22bd; output=0xd870
a=0xf0f5; output=0x0a38
a=0x596f; output=0xa1be
a=0x4200; output=0xb92d
a=0x27e0; output=0xd34d
a=0x7904; output=0x8229
a=0x7442; output=0x86eb
a=0xc2d9; output=0x3854
a=0xd5de; output=0x254f
a=0x1d5d; output=0xddd0
a=0x4641; output=0xb4ec
a=0x8b6b; output=0x6fc2
a=0xb0b3; output=0x4a7a
a=0x4560; output=0xb5cd
a=0xd78b; output=0x23a2
a=0xddd8; output=0x1d55
a=0xf963; output=0x01ca
a=0x33f7; output=0xc736
a=0xfd46; output=0xfde7
a=0xa44c; output=0x56e1
a=0x642e; output=0x96ff
a=0x0c1a; output=0xef13
a=0x3694; output=0xc499
a=0x3045; output=0xcae8
a=0xf79b; output=0x0392
a=0x3812; output=0xc31b
a=0x772a; output=0x8403
a=0x9773; output=0x63ba
a=0xc7d2; output=0x335b
a=0x2fb6; output=0xcb77
a=0xc94e; output=0x31df
a=0xeaf1; output=0x103c
a=0x3ef0; output=0xbc3d
a=0x221b; output=0xd912
a=0x5b13; output=0xa01a
a=0xebcb; output=0x0f62
a=0x663a; output=0x94f3
a=0x4292; output=0xb89b
a=0x308d; output=0xcaa0
a=0xed47; output=0x0de6
a=0x6322; output=0x980b
a=0x9104; output=0x6a29
a=0x8b67; output=0x6fc6
a=0xb7c2; output=0x436b
a=0x265c; output=0xd4d1
a=0xd396; output=0x2797
a=0x8769; output=0x73c4
a=0x9a8a; output=0x60a3
a=0x7de2; output=0x7d4b
a=0x76a9; output=0x8484
a=0xf849; output=0x02e4
a=0x9e5b; output=0x5cd2
a=0x1ace; output=0xe05f
a=0x47f1; output=0xb33c
a=0x540d; output=0xa720
a=0xd982; output=0x21ab
a=0x0f47; output=0xebe6
a=0x9e0d; output=0x5d20
a=0x2f48; output=0xcbe5
a=0x6252; output=0x98db
a=0xe403; output=0x172a
a=0x5177; output=0xa9b6
a=0xd2a5; output=0x2888
a=0xd7cb; output=0x2362
a=0xe273; output=0x18ba
a=0xfd41; output=0xfdec
a=0xb618; output=0x4515
a=0xb7e1; output=0x434c
a=0x64f5; output=0x9638
a=0x5c2e; output=0x9eff
a=0x2354; output=0xd7d9
a=0x387f; output=0xc2ae
a=0x4c33; output=0xaefa
a=0xacf0; output=0x4e3d
a=0xf199; output=0x0994
a=0x7270; output=0x88bd
a=0x26ac; output=0xd481
a=0xca2f; output=0x30fe
a=0x7739; output=0x83f4
a=0x31ca; output=0xc963
a=0x5315; output=0xa818
a=0xbef8; output=0x3c35
a=0xa8f6; output=0x5237
a=0x7382; output=0x87ab
a=0x4e9b; output=0xac92
a=0xa39c; output=0x5791
a=0xae19; output=0x4d14
a=0xea7e; output=0x10af
a=0x0c35; output=0xeef8
a=0x496c; output=0xb1c1
a=0x632a; output=0x9803
a=0xe98f; output=0x119e
a=0x5859; output=0xa2d4
a=0x422b; output=0xb902
a=0x9384; output=0x67a9
a=0x8688; output=0x74a5
a=0x3316; output=0xc817
a=0x12c8; output=0xe865
a=0xd2c5; output=0x2868
a=0x64fa; output=0x9633
a=0xf0b2; output=0x0a7b
a=0x1a56; output=0xe0d7
a=0xd5eb; output=0x2542
a=0xc78b; output=0x33a2
a=0x07d1; output=0xf35c
a=0xa2c5; output=0x5868
a=0xa4c3; output=0x566a
a=0xf0aa; output=0x0a83
a=0xf6a8; output=0x0485
a=0xc1ac; output=0x3981
a=0x8520; output=0x760d
a=0x0fde; output=0xeb4f
a=0xc970; output=0x31bd
a=0x290e; output=0xd21f
a=0xc35e; output=0x37cf
a=0x7cc0; output=0x7e6d
a=0x92e0; output=0x684d
a=0x938d; output=0x67a0
a=0x5b28; output=0xa005
a=0x2dcc; output=0xcd61
a=0x440c; output=0xb721
a=0xd10c; output=0x2a21
a=0x4659; output=0xb4d4
a=0x8615; output=0x7518
a=0xe39d; output=0x1790
a=0x4814; output=0xb319
a=0x8fc3; output=0x6b6a
a=0xe7e0; output=0x134d
a=0xc5bc; output=0x3571
a=0x6b86; output=0x8fa7
a=0x857f; output=0x75ae
a=0x7122; output=0x8a0b
a=0xda8d; output=0x20a0
a=0x006e; output=0xfabf
a=0x91d4; output=0x6959
a=0xbbed; output=0x3f40
a=0x676c; output=0x93c1
a=0xff5b; output=0xfbd2
a=0x3559; output=0xc5d4
a=0xb347; output=0x47e6
a=0x89f3; output=0x713a
a=0xce74; output=0x2cb9
a=0x98ec; output=0x6241
a=0x3321; output=0xc80c
a=0x1855; output=0xe2d8
a=0x06f6; output=0xf437
a=0x9659; output=0x64d4
a=0xef40; output=0x0bed
a=0x48c6; output=0xb267
a=0xf4f1; output=0x063c
a=0xb4de; output=0x464f
a=0x5620; output=0xa50d
a=0x5603; output=0xa52a
a=0x5e00; output=0x9d2d
a=0xeecc; output=0x0c61
a=0xe671; output=0x14bc
a=0x1667; output=0xe4c6
a=0x88a0; output=0x728d
a=0x20ac; output=0xda81
a=0xfacf; output=0x005e
a=0xa16a; output=0x59c3
a=0xb7e8; output=0x4345
a=0xfa0e; output=0x011f
a=0xe390; output=0x179d
a=0xd25b; output=0x28d2
a=0xa508; output=0x5625
a=0x163c; output=0xe4f1
a=0x996c; output=0x61c1
a=0xea6e; output=0x10bf
a=0xce04; output=0x2d29
a=0xa397; output=0x5796
a=0xdc12; output=0x1f1b
a=0x222e; output=0xd8ff
a=0x372d; output=0xc400
a=0x03af; output=0xf77e
a=0xec39; output=0x0ef4
a=0x8af4; output=0x7039
a=0xc2c6; output=0x3867
a=0xedd3; output=0x0d5a
a=0x3f5c; output=0xbbd1
a=0xb3b2; output=0x477b
a=0x2971; output=0xd1bc
a=0x8fb1; output=0x6b7c
a=0x0720; output=0xf40d
a=0x9638; output=0x64f5
a=0x6cc8; output=0x8e65
a=0x87f1; output=0x733c
a=0x523c; output=0xa8f1
a=0x7e9a; output=0x7c93
a=0xef42; output=0x0beb
a=0x9f71; output=0x5bbc
a=0x1d4a; output=0xdde3
a=0x5ccb; output=0x9e62
a=0x4761; output=0xb3cc
a=0x75aa; output=0x8583
a=0xdfa9; output=0x1b84
a=0xe49c; output=0x1691
a=0x40ee; output=0xba3f
a=0xa930; output=0x51fd
a=0x2f48; output=0xcbe5
a=0x54cc; output=0xa661
a=0x9ba9; output=0x5f84
a=0x5b65; output=0x9fc8
a=0x2d8b; output=0xcda2
a=0x5bb5; output=0x9f78
a=0x3305; output=0xc828
a=0x3519; output=0xc614
a=0x4d47; output=0xade6
a=0x7dc8; output=0x7d65
a=0x3273; output=0xc8ba
a=0x0b73; output=0xefba
a=0xccf5; output=0x2e38
a=0xb306; output=0x4827
a=0x069b; output=0xf492
a=0x4ba6; output=0xaf87
a=0x48b0; output=0xb27d
a=0x6d6c; output=0x8dc1
a=0xf273; output=0x08ba
a=0x10cd; output=0xea60
a=0xaee7; output=0x4c46
a=0x3462; output=0xc6cb
a=0x78cf; output=0x825e
a=0xfb37; output=0xfff6
a=0x20d3; output=0xda5a
a=0x28ef; output=0xd23e
a=0x1667; output=0xe4c6
a=0xf1f8; output=0x0935
a=0x7be8; output=0x7f45
a=0x1304; output=0xe829
a=0xa26e; output=0x58bf
a=0x657f; output=0x95ae
a=0x304d; output=0xcae0
a=0xc314; output=0x3819
a=0xd163; output=0x29ca
a=0xd727; output=0x2406
a=0x791b; output=0x8212
a=0x6b65; output=0x8fc8
a=0x4efa; output=0xac33
a=0x9c99; output=0x5e94
a=0xe574; output=0x15b9
a=0x8417; output=0x7716
a=0x78fe; output=0x822f
a=0x84b5; output=0x7678
a=0x38f6; output=0xc237
a=0xe14e; output=0x19df
a=0xeec9; output=0x0c64
a=0x3b6c; output=0xbfc1
a=0xed56; output=0x0dd7
a=0x742c; output=0x8701
a=0x740d; output=0x8720
a=0xa16f; output=0x59be
a=0x9caa; output=0x5e83
a=0xc9c4; output=0x3169
a=0x96a3; output=0x648a
a=0x09de; output=0xf14f
a=0x5a01; output=0xa12c
a=0xe018; output=0x1b15
a=0xbdb9; output=0x3d74
a=0xc0c6; output=0x3a67
a=0xcc75; output=0x2eb8
a=0x5fe7; output=0x9b46
a=0x9d87; output=0x5da6
a=0x1b07; output=0xe026
a=0xec68; output=0x0ec5
a=0x0169; output=0xf9c4
a=0x1aba; output=0xe073
a=0xa4c3; output=0x566a
a=0x1b40; output=0xdfed
a=0x7870; output=0x82bd
a=0xddd7; output=0x1d56
a=0x1a63; output=0xe0ca
a=0xaedf; output=0x4c4e
a=0x8729; output=0x7404
a=0x14fa; output=0xe633
a=0x3dcf; output=0xbd5e
a=0x9071; output=0x6abc
a=0xf6d8; output=0x0455
a=0x1194; output=0xe999
a=0x43df; output=0xb74e
a=0xba37; output=0x40f6
a=0x1c8f; output=0xde9e
a=0x08c7; output=0xf266
a=0xc9b3; output=0x317a
a=0xf081; output=0x0aac
a=0xce2d; output=0x2d00
a=0x97eb; output=0x6342
a=0xfa96; output=0x0097
a=0xccf0; output=0x2e3d
